package,fedora_patch,debian_patch,type,fedora_time,debian_time
p7zip,CVE-2017-17969.patch,13-CVE-2017-17969.patch,common,2018-01-27 01:16:04+00:00,2018-01-28 21:22:26+01:00
p7zip,CVE-2016-9296.patch,12-CVE-2016-9296.patch,common,2016-11-21 01:51:51+00:00,2016-11-19 08:54:52+01:00
p7zip,05-hardening-flags.patch,05-hardening-flags.patch,common,2018-01-27 01:16:04+00:00,2016-01-22 11:20:58+01:00
p7zip,p7zip-manpages.patch,09-man-update.patch,similar,2018-01-27 01:16:04+00:00,2016-03-06 12:55:19+01:00
freedink,const.patch,const-char.patch,common,2022-08-05 14:01:03-05:00,2024-05-01 11:04:01+02:00
gnurobbo,gnurobbo-fno-common.patch,single-variable-declarations.patch,similar,2020-02-07 09:39:36-07:00,2020-05-08 23:10:31+02:00
dmtx-utils,dmtx-utils-0.7.6-types.patch,003-compiler-warnings.patch,common,2024-01-24 13:19:37+01:00,
scottfree,scottfree-c99.patch,03_clang.diff,common,2024-01-09 13:43:35+01:00,2017-01-20 12:51:34+01:00
scottfree,scottfree-1.14-fscanf.patch,04_968375.patch,common,2022-08-17 12:50:02+02:00,2021-10-26 09:53:19+02:00
scottfree,scottfree-1.14-includes.patch,02_scottcurses_includes.diff,common,2019-12-30 12:55:13+01:00,2017-01-20 08:47:46+01:00
scottfree,scottfree-1.14-format_strings.patch,format-strings.patch,common,2022-08-17 12:50:02+02:00,2021-10-26 12:33:37+02:00
meanwhile,meanwhile-file-transfer.patch,ft_fix.diff,common,2013-03-26 10:38:41+01:00,2020-06-16 11:39:36-04:00
altermime,altermime-0.3.10-fprintf-compiler-error.patch,10_fix_printk_warnings.diff,common,2008-11-23 12:13:36+00:00,2011-05-03 20:05:16+02:00
orocos-kdl,orocos-kdl.pybind11.patch,0005-Use-system-pybind11-package.patch,common,2020-09-05 15:38:25+02:00,2021-10-07 15:01:12+02:00
netpanzer,netpanzer-python3.patch,scons.patch,similar,2019-08-01 11:21:10-05:00,2020-01-25 18:26:04+01:00
ccze,ccze-opts.diff,src___ccze.c.patch,common,2010-08-10 01:05:11+04:00,2016-10-16 20:09:22+02:00
ccze,ccze-0.2.1-Wmulticharacter.patch,288834_FTBFS_unrecognized_command_line_option_-Wmulticharacter.patch,similar,2009-08-06 22:15:23+00:00,2016-10-16 20:09:22+02:00
mpsolve,mpsolve-autoconf-2.70.patch,autoconf-2.70.patch,common,2021-03-25 10:13:02-06:00,2021-11-01 11:32:35-04:00
python-marathon,marathon-dont-use-2to3.patch,remove-the-use-of-2to3.patch,common,2022-06-27 22:40:42+03:00,2021-11-03 10:34:41+01:00
python-marathon,iterable-import-from-collections.abc.patch,iterable-import-from-collections.abc.patch,common,2022-06-27 22:40:42+03:00,2022-05-01 12:20:05+02:00
tolua++,tolua++-1.0.93-scons304.patch,tolua++-1.0.93-scons304.patch,common,2019-10-11 14:34:04+02:00,2022-12-21 14:48:52-05:00
xpenguins,xpenguins-2.2-format-security.patch,format_string_fix.diff,common,2013-12-03 14:21:40+01:00,2011-10-24 15:46:40+00:00
clamsmtp,clamsmtp-man.patch,manpage.patch,common,2010-08-16 08:21:03-06:00,2008-11-30 13:58:41+01:00
clamsmtp,clamsmtp-include_order.patch,include_order.patch,common,2018-05-29 15:15:59-06:00,2015-03-02 09:50:21+01:00
expect,expect-5.43.0-log_file.patch,16-logfile.patch,common,2006-03-22 18:24:01+00:00,2014-07-13 21:03:29+04:00
